	NC_009057	NC_009058	NC_009059	NC_009060	NC_009062	NC_009063	NC_009064	NC_009065	NC_009066	NC_009067	NC_009459	NC_010205	NC_011168	NC_011169	NC_011170	NC_011171	NC_011177	NC_011179	NC_012055	NC_013564	NC_013577	NC_013663	NC_013750	NC_018814	NC_018815
NC_009057	0.0168411	0.6218965000000001	0.7224655	0.7388399999999999	0.413238	0.40910199999999997	0.647723	0.7026285	0.826775	0.790088	0.793177	0.8362499999999999	0.6257455000000001	0.6169585	0.690334	0.564146	0.65932	0.700294	0.779775	0.8077384999999999	0.8136545	0.289538	0.318879	0.3898355	0.408841
NC_009058	0.6218965000000001	0.016899	0.7688980000000001	0.778371	0.666947	0.6604165	0.69259	0.750671	0.8670685	0.8312284999999999	0.822783	0.8604735	0.5766899999999999	0.6307024999999999	0.6634994999999999	0.6722360000000001	0.694348	0.708916	0.832973	0.825971	0.8251055	0.6219975	0.6455945	0.6896875	0.646461
NC_009059	0.7224655	0.7688980000000001	0.0166939	0.5242735000000001	0.7197355	0.7438359999999999	0.7347429999999999	0.7672950000000001	0.8557505	0.8326100000000001	0.8407795	0.8710275000000001	0.7594405	0.7600115000000001	0.7598235	0.765648	0.7376259999999999	0.771402	0.840292	0.8697809999999999	0.8600965	0.714852	0.7270055	0.7124205	0.725779
NC_009060	0.7388399999999999	0.778371	0.5242735000000001	0.016896	0.747474	0.7535725	0.7483025	0.7704825	0.86105	0.867907	0.8618315	0.8937085	0.768088	0.7515095	0.765575	0.8023905	0.771137	0.807301	0.8438950000000001	0.8704345	0.866995	0.7683355000000001	0.7803610000000001	0.7517475	0.7671415
NC_009062	0.413238	0.666947	0.7197355	0.747474	0.0166415	0.370672	0.6685865	0.7487524999999999	0.817786	0.7903315	0.8079705	0.8352545	0.668532	0.6524840000000001	0.6595525	0.596348	0.7001839999999999	0.736413	0.7699560000000001	0.8152325	0.8135735	0.41322349999999997	0.3997225	0.367769	0.37365499999999996
NC_009063	0.40910199999999997	0.6604165	0.7438359999999999	0.7535725	0.370672	0.0166285	0.695111	0.7420835	0.8125995	0.7947420000000001	0.8072765	0.8271474999999999	0.644855	0.6509035	0.678488	0.5779920000000001	0.6781585	0.6875565	0.809527	0.827421	0.8381725	0.398011	0.375729	0.219852	0.2377965
NC_009064	0.647723	0.69259	0.7347429999999999	0.7483025	0.6685865	0.695111	0.016524	0.598223	0.820202	0.8090855	0.7921605	0.8314965000000001	0.6904845	0.6846845	0.703665	0.690303	0.6689959999999999	0.698979	0.782176	0.8371695	0.8319734999999999	0.6286160000000001	0.655006	0.6809035	0.6668045
NC_009065	0.7026285	0.750671	0.7672950000000001	0.7704825	0.7487524999999999	0.7420835	0.598223	0.0168178	0.8465085	0.828738	0.8425425	0.830443	0.769201	0.7394054999999999	0.74795	0.7323175	0.762925	0.728449	0.7993825	0.8427305	0.866086	0.730977	0.6950145	0.7508520000000001	0.720234
NC_009066	0.826775	0.8670685	0.8557505	0.86105	0.817786	0.8125995	0.820202	0.8465085	0.0166618	0.8074604999999999	0.777199	0.8296085	0.848007	0.8259015	0.8338414999999999	0.8390035	0.8441525	0.825652	0.799412	0.8939619999999999	0.8909195	0.8325765	0.8221050000000001	0.838549	0.8093535000000001
NC_009067	0.790088	0.8312284999999999	0.8326100000000001	0.867907	0.7903315	0.7947420000000001	0.8090855	0.828738	0.8074604999999999	0.0169594	0.7555365	0.816735	0.8012330000000001	0.793569	0.845854	0.837609	0.8443415	0.8238745000000001	0.381247	0.8368629999999999	0.8866514999999999	0.792362	0.7700015	0.7740724999999999	0.7764420000000001
NC_009459	0.793177	0.822783	0.8407795	0.8618315	0.8079705	0.8072765	0.7921605	0.8425425	0.777199	0.7555365	0.0167873	0.833099	0.8174684999999999	0.8280765	0.852598	0.8508534999999999	0.8186505	0.8112625	0.7934645	0.8395695000000001	0.868369	0.7938725	0.790724	0.808142	0.800699
NC_010205	0.8362499999999999	0.8604735	0.8710275000000001	0.8937085	0.8352545	0.8271474999999999	0.8314965000000001	0.830443	0.8296085	0.816735	0.833099	0.0164354	0.8452855	0.832619	0.852541	0.8471965	0.8468675	0.830044	0.7295775	0.868034	0.9045285	0.8327555	0.831317	0.808943	0.830591
NC_011168	0.6257455000000001	0.5766899999999999	0.7594405	0.768088	0.668532	0.644855	0.6904845	0.769201	0.848007	0.8012330000000001	0.8174684999999999	0.8452855	0.0166828	0.655951	0.690252	0.6867494999999999	0.670531	0.723141	0.8120545	0.8199695	0.8490070000000001	0.6190865000000001	0.632935	0.6279064999999999	0.6075915000000001
NC_011169	0.6169585	0.6307024999999999	0.7600115000000001	0.7515095	0.6524840000000001	0.6509035	0.6846845	0.7394054999999999	0.8259015	0.793569	0.8280765	0.832619	0.655951	0.0166707	0.6134539999999999	0.6712245	0.6493519999999999	0.711367	0.8237384999999999	0.81004	0.8441479999999999	0.6467145000000001	0.6376545	0.6297360000000001	0.6506955
