Method,Dataset,Cat,Size.B,Memory.KB,Elapsed.s,User.s,System.s
Smash++,Small,Synthetic,3000,1053528,6.95,1.76,5.22
Smash++,Medium,Synthetic,200000,1053328,5.11,1.45,3.68
Smash++,Large,Synthetic,10000000,1055860,16.06,12.2,3.73
Smash++,XLarge,Synthetic,200000000,1102292,322.31,311.8,7.81
Smash++,Mutate,Synthetic,120000,1053308,2.93,0.87,2.06
Smash++,GGA18_MGA20,Real,22419393,1062700,46.75,37.77,8.73
Smash++,GGA14_MGA16,Real,31542564,1067380,53.74,44.8,8.57
Smash++,HS12_PT12,Real,264271225,1137216,105.21,95.15,7.36
Smash++,PXO99A_MAFF311018,Real,10324186,1056048,48.39,16.24,31.86
Smash++,CompSynth,Synthetic,2000000,1054236,10.98,5.58,5.26
Smash,CompSynth,Synthetic,2000000,1789360,107.28,48.88,48.3
Smash++,CompReal,Real,2228294,1054532,22.66,9.21,13.35
Smash,CompReal,Real,2228294,1506436,58.8,27.38,25.34
Smash++,PermOrig,Synthetic,6000000,1055304,10.98,4.43,6.5
Smash++,Perm450000,Synthetic,6000000,1055128,15.37,5.74,9.55
Smash++,Perm30000,Synthetic,6000000,1054900,84.02,24.58,59.14
Smash++,Perm1000,Synthetic,6000000,1054660,652.58,176.82,474.16
Smash++,Perm30,Synthetic,6000000,1057804,24958.9,16542.13,7629.04
