kmer,gamma,bpb
1,0.05,1.9858
1,0.1,1.9858
1,0.15,1.9858
1,0.2,1.9858
1,0.25,1.9858
1,0.3,1.9858
1,0.35,1.9858
1,0.4,1.9858
1,0.45,1.9858
1,0.5,1.9858
1,0.55,1.9858
1,0.6,1.9858
1,0.65,1.9858
1,0.7,1.9858
1,0.75,1.9858
1,0.8,1.9858
1,0.85,1.9858
1,0.9,1.9858
1,0.95,1.9858
2,0.05,1.9858
2,0.1,1.9858
2,0.15,1.9858
2,0.2,1.9858
2,0.25,1.9858
2,0.3,1.9858
2,0.35,1.9858
2,0.4,1.9858
2,0.45,1.9858
2,0.5,1.9858
2,0.55,1.9858
2,0.6,1.9858
2,0.65,1.9858
2,0.7,1.9858
2,0.75,1.9858
2,0.8,1.9858
2,0.85,1.9858
2,0.9,1.9858
2,0.95,1.9858
3,0.05,1.9862
3,0.1,1.9862
3,0.15,1.9862
3,0.2,1.9862
3,0.25,1.9862
3,0.3,1.9862
3,0.35,1.9862
3,0.4,1.9862
3,0.45,1.9862
3,0.5,1.9862
3,0.55,1.9862
3,0.6,1.9862
3,0.65,1.9862
3,0.7,1.9862
3,0.75,1.9862
3,0.8,1.9862
3,0.85,1.9862
3,0.9,1.9862
3,0.95,1.9862
4,0.05,1.9871
4,0.1,1.9871
4,0.15,1.9871
4,0.2,1.9871
4,0.25,1.9871
4,0.3,1.9871
4,0.35,1.9871
4,0.4,1.9871
4,0.45,1.9871
4,0.5,1.9871
4,0.55,1.9871
4,0.6,1.9871
4,0.65,1.9871
4,0.7,1.9871
4,0.75,1.9871
4,0.8,1.9871
4,0.85,1.9871
4,0.9,1.9871
4,0.95,1.9872
5,0.05,1.9899
5,0.1,1.9899
5,0.15,1.9899
5,0.2,1.9899
5,0.25,1.9899
5,0.3,1.9899
5,0.35,1.9899
5,0.4,1.9899
5,0.45,1.9899
5,0.5,1.9899
5,0.55,1.9899
5,0.6,1.99
5,0.65,1.99
5,0.7,1.9901
5,0.75,1.9901
5,0.8,1.9901
5,0.85,1.9904
5,0.9,1.9904
5,0.95,1.9906
6,0.05,1.9998
6,0.1,1.9997
6,0.15,1.9997
6,0.2,1.9994
6,0.25,1.9994
6,0.3,1.9994
6,0.35,1.9994
6,0.4,1.9994
6,0.45,1.9995
6,0.5,1.9996
6,0.55,1.9996
6,0.6,1.9998
6,0.65,1.9999
6,0.7,1.9999
6,0.75,2.0001
6,0.8,2.0003
6,0.85,2.0005
6,0.9,2.0009
6,0.95,2.0014
7,0.05,2.0321
7,0.1,2.0318
7,0.15,2.0316
7,0.2,2.0314
7,0.25,2.0313
7,0.3,2.0312
7,0.35,2.0312
7,0.4,2.0314
7,0.45,2.0315
7,0.5,2.0316
7,0.55,2.0319
7,0.6,2.0321
7,0.65,2.0324
7,0.7,2.0329
7,0.75,2.0336
7,0.8,2.0343
7,0.85,2.0355
7,0.9,2.0368
7,0.95,2.0386
8,0.05,2.1276
8,0.1,2.1258
8,0.15,2.1247
8,0.2,2.1235
8,0.25,2.123
8,0.3,2.1226
8,0.35,2.1225
8,0.4,2.1226
8,0.45,2.1228
8,0.5,2.1232
8,0.55,2.1241
8,0.6,2.1248
8,0.65,2.1258
8,0.7,2.1268
8,0.75,2.1283
8,0.8,2.1299
8,0.85,2.1322
8,0.9,2.1348
8,0.95,2.1377
9,0.05,2.2795
9,0.1,2.2751
9,0.15,2.2721
9,0.2,2.2694
9,0.25,2.2674
9,0.3,2.2657
9,0.35,2.2647
9,0.4,2.2637
9,0.45,2.2632
9,0.5,2.2631
9,0.55,2.2631
9,0.6,2.2631
9,0.65,2.2634
9,0.7,2.264
9,0.75,2.2647
9,0.8,2.266
9,0.85,2.2681
9,0.9,2.2705
9,0.95,2.2732
10,0.05,2.3608
10,0.1,2.3546
10,0.15,2.3499
10,0.2,2.346
10,0.25,2.3425
10,0.3,2.3397
10,0.35,2.3374
10,0.4,2.3356
10,0.45,2.334
10,0.5,2.3328
10,0.55,2.3318
10,0.6,2.331
10,0.65,2.3301
10,0.7,2.3295
10,0.75,2.3287
10,0.8,2.3289
10,0.85,2.3298
10,0.9,2.3315
10,0.95,2.3345
11,0.05,2.2346
11,0.1,2.2271
11,0.15,2.2206
11,0.2,2.2145
11,0.25,2.2094
