Method,Dataset,Cat,Size.B,Time.s,Memory.MB
Smash++,Small,Synthetic,3000,6.14,17.41
Smash++,Medium,Synthetic,200000,4.70,17.43
Smash++,Large,Synthetic,10000000,25.83,17.43
Smash++,XLarge,Synthetic,200000000,654.23,17.44
Smash++,Mutate,Synthetic,120000,2.71,17.73
Smash++,GGA18_MGA20,Real,22419393,79.11,17.73
Smash++,GGA14_MGA16,Real,31542564,95.39,17.73
Smash++,HS12_PT12,Real,268046531,614.89,17.61
Smash++,PXO99A_MAFF311018,Real,10324186,106.32,17.77
Smash++,CompSynth,Synthetic,2000000,11.51,17.77
Smash,CompSynth,Synthetic,2000000,26.17,17.77
Smash++,CompReal,Real,2228294,23.89,17.77
Smash,CompReal,Real,2228294,17.30,17.77
Smash++,PermOrig,Synthetic,6000000,22.98,17.77
Smash++,Perm450000,Synthetic,6000000,24.01,17.77
Smash++,Perm30000,Synthetic,6000000,112.33,17.77
Smash++,Perm1000,Synthetic,6000000,987.52,17.77
Smash++,Perm30,Synthetic,6000000,16882.97,17.91
