Name	Group	Organism	COX1_beg	COX1_end
NC_000834		Branchiostoma floridae	1	1548
NC_000845	Mammalia	Sus scrofa	6511	8055
NC_000846		Rhea americana	5374	6924
NC_000860	Actinopterygii	Salvelinus fontinalis	6436	7986
NC_000861	Actinopterygii	Salvelinus alpinus	6471	8021
NC_000877		Aythya americana	6466	8016
NC_000878		Falco peregrinus	5450	7000
NC_000879		Smithornis sharpei	5444	6994
NC_000880		Vidua chalybeata	6697	8247
NC_000884	Mammalia	Cavia porcellus	5329	6870
NC_000886		Chelonia mydas	5401	6948
NC_000888		Plestiodon egregius	5288	6835
NC_000889	Mammalia	Hippopotamus amphibius	5339	6884
NC_000890	Chondrichthyes	Mustelus manazo	5461	7017
NC_000891	Mammalia	Ornithorhynchus anatinus	5389	6930
NC_000893	Chondrichthyes	Amblyraja radiata	5474	7030
NC_000934	Mammalia	Loxodonta africana	5329	6876
NC_001131		Lampetra fluviatilis	2604	4157
NC_001321	Mammalia	Balaenoptera physalus	5782	7332
NC_001323		Gallus gallus	6645	8192
NC_001325	Mammalia	Phoca vitulina	6275	7819
NC_001601	Mammalia	Balaenoptera musculus	5779	7329
NC_001602	Mammalia	Halichoerus grypus	6249	7793
NC_001606	Actinopterygii	Cyprinus carpio	6399	7949
NC_001610	Mammalia	Didelphis virginiana	5397	6938
NC_001626		Petromyzon marinus	6610	8163
NC_001640	Mammalia	Equus caballus	5362	6906
NC_001643	Mammalia	Pan troglodytes	5321	6862
NC_001644	Mammalia	Pan paniscus	5322	6863
NC_001645	Mammalia	Gorilla gorilla	5325	6864
NC_001646	Mammalia	Pongo pygmaeus	5332	6871
NC_001665	Mammalia	Rattus norvegicus	5323	6867
NC_001700	Mammalia	Felis catus	6216	7760
NC_001708		Protopterus dolloi	5319	6866
NC_001717	Actinopterygii	Oncorhynchus mykiss	6468	8018
NC_001727	Actinopterygii	Formosania lacustris	6367	7917
NC_001778	Actinopterygii	Polypterus ornatipinnis	5418	6974
NC_001779	Mammalia	Rhinoceros unicornis	5351	6895
NC_001788	Mammalia	Equus asinus	5357	6901
NC_001794	Mammalia	Macropus robustus	5393	6934
NC_001804		Latimeria chalumnae	5477	7024
NC_001808	Mammalia	Ceratotherium simum	5350	6894
NC_001821	Mammalia	Dasypus novemcinctus	5349	6890
NC_001892	Mammalia	Glis glis	5333	6874
NC_001912		Branchiostoma lanceolatum	6201	7748
NC_001913	Mammalia	Oryctolagus cuniculus	5354	6895
NC_001922		Alligator mississippiensis	5314	6868
NC_001941	Mammalia	Ovis aries	5332	6876
NC_001945		Lycodon semicarinatus	6220	7765
NC_001947		Pelomedusa subrufa	5368	6912
NC_001950	Chondrichthyes	Scyliorhinus canicula	2627	4180
NC_001960	Actinopterygii	Salmo salar	6476	8026
NC_002008	Mammalia	Canis lupus familiaris	5349	6893
NC_002009	Mammalia	Artibeus jamaicensis	5330	6874
NC_002012	Chondrichthyes	Squalus acanthias	5468	7024
NC_002069		Corvus frugilegus	5411	6961
NC_002073		Chrysemys picta	5401	6948
NC_002078	Mammalia	Orycteropus afer	5332	6879
NC_002079	Actinopterygii	Carassius auratus	6400	7950
NC_002080	Mammalia	Erinaceus europaeus	5346	6890
NC_002081	Actinopterygii	Gadus morhua	5443	6993
NC_002082	Mammalia	Hylobates lar	5322	6863
NC_002083	Mammalia	Pongo abelii	5342	6884
NC_002196		Ciconia boyciana	7462	9012
NC_002197		Ciconia ciconia	7184	8734
NC_002333	Actinopterygii	Danio rerio	6425	7975
NC_002369	Mammalia	Sciurus vulgaris	5352	6893
NC_002386	Actinopterygii	Paralichthys olivaceus	5500	7050
NC_002391	Mammalia	Talpa europaea	5356	6900
NC_002471		Typhlonectes natans	5300	6853
NC_002504	Mammalia	Vicugna pacos	5326	6870
NC_002521	Mammalia	Tupaia belangeri	5317	6858
NC_002574	Actinopterygii	Sigmops gracilis	5433	6975
NC_002612	Mammalia	Pteropus dasymallus	5347	6891
NC_002616	Actinopterygii	Sardinops melanostictus	5489	7039
NC_002626	Mammalia	Chalinolobus tuberculatus	5325	6869
NC_002631	Mammalia	Echinops telfairi	5344	6885
NC_002639		Myxine glutinosa	2564	4117
NC_002646	Actinopterygii	Coregonus lavaretus	5472	7022
NC_002647	Actinopterygii	Diplophos taenia	5466	7028
NC_002648	Actinopterygii	Polymixia japonica	5489	7039
NC_002658	Mammalia	Thryonomys swinderianus	5355	6899
NC_002672		Dinornis giganteus	6898	8448
NC_002673		Emeus crassus	6890	8440
NC_002674	Actinopterygii	Hime japonica	5467	7017
NC_002707	Actinopterygii	Anguilla japonica	5491	7083
NC_002734	Actinopterygii	Plecoglossus altivelis	5496	7046
NC_002744		Caiman crocodilus	5324	6881
NC_002756		Lyciasalamandra atifi	5301	6860
NC_002761	Actinopterygii	Conger myriaster	5487	7052
NC_002763	Mammalia	Cebus albifrons	5329	6874
NC_002764	Mammalia	Macaca sylvanus	5329	6871
NC_002765	Mammalia	Nycticebus coucang	5379	6920
NC_002772		Eudromia elegans	5376	6926
NC_002778		Casuarius casuarius	5376	6926
NC_002779		Anomalopteryx didiformis	5394	6944
NC_002780		Dogania subplana	5399	6934
NC_002781		Tinamus major	5395	6945
NC_002782		Apteryx haastii	5385	6935
NC_002783		Pterocnemia pennata	5376	6926
NC_002784		Dromaius novaehollandiae	5377	6927
NC_002785		Struthio camelus	5359	6909
NC_002793		Iguana iguana	5327	6874
NC_002805		Pelophylax nigromaculatus	7959	9497
NC_002807		Eptatretus burgeri	2570	4123
NC_002808	Mammalia	Echinosorex gymnura	5351	6895
NC_002811	Mammalia	Tarsius bancanus	5348	6889
NC_002812	Actinopterygii	Arctoscopus japonicus	5476	7026
NC_002813	Actinopterygii	Trachurus japonicus	5512	7062
NC_002980	Actinopterygii	Oncorhynchus tshawytscha	6455	8005
NC_003033	Mammalia	Ochotona collaris	5335	6876
NC_003040	Mammalia	Episoriculus fumidus	5374	6918
NC_003041	Mammalia	Microtus kikuchii	5300	6844
NC_003095	Actinopterygii	Osteoglossum bicirrhosum	5494	7059
NC_003096	Actinopterygii	Pantodon buchholzi	5461	7017
NC_003097	Actinopterygii	Engraulis japonicus	5481	7025
NC_003127		Neoceratodus forsteri	5467	7023
NC_003128		Buteo buteo	5391	6941
NC_003136	Chondrichthyes	Chimaera monstrosa	5456	7015
NC_003137	Chondrichthyes	Heterodontus francisci	5462	7018
NC_003159	Actinopterygii	Chauliodus sloani	7096	8643
NC_003160	Actinopterygii	Chlorophthalmus agassizi	5517	7067
NC_003161	Actinopterygii	Harpadon microchir	5447	6997
NC_003162	Actinopterygii	Saurida undosquamis	5448	6998
NC_003163	Actinopterygii	Myctophum affine	5691	7238
NC_003166	Actinopterygii	Trachipterus trachypterus	5570	7120
NC_003167	Actinopterygii	Zu cristatus	5559	7109
NC_003168	Actinopterygii	Percopsis transmontana	5569	7119
NC_003169	Actinopterygii	Coelorinchus kishinouyei	5438	6983
NC_003172	Actinopterygii	Poromitra oscitans	5693	7243
NC_003173	Actinopterygii	Zenopsis nebulosus	5441	7000
NC_003175	Actinopterygii	Elassoma evergladei	5426	6976
NC_003176	Actinopterygii	Kareius bicoloratus	5500	7059
NC_003177	Actinopterygii	Stephanolepis cirrhifer	5456	7006
NC_003178	Actinopterygii	Ateleopus japonicus	5485	7035
NC_003179	Actinopterygii	Ijimaia dofleini	5479	7029
NC_003180	Actinopterygii	Neoscopelus microchir	5491	7041
NC_003181	Actinopterygii	Polymixia lowei	5474	7024
NC_003182	Actinopterygii	Mugil cephalus	5540	7108
NC_003183	Actinopterygii	Cololabis saira	5451	7004
NC_003184	Actinopterygii	Exocoetus volitans	5472	7025
NC_003185	Actinopterygii	Danacetichthys galathenus	5455	6996
NC_003186	Actinopterygii	Rondeletia loricata	5469	7019
NC_003187	Actinopterygii	Hoplostethus japonicus	5462	7012
NC_003188	Actinopterygii	Beryx splendens	5478	7028
NC_003189	Actinopterygii	Myripristis berndti	5476	7032
NC_003190	Actinopterygii	Zeus faber	5445	7007
NC_003191	Actinopterygii	Antigonia capros	5490	7049
NC_003192	Actinopterygii	Monopterus albus	5461	7017
NC_003193	Actinopterygii	Mastacembelus favus	5450	7000
NC_003194	Actinopterygii	Dactyloptena peterseni	5486	7036
NC_003195	Actinopterygii	Helicolenus hilgendorfi	5480	7030
NC_003290	Actinopterygii	Kryptolebias marmoratus	6226	7782
NC_003314	Mammalia	Dugong dugon	5327	6868
NC_003321	Mammalia	Tachyglossus aculeatus	5384	6925
NC_003342		Lepidosiren paradoxa	5307	6860
NC_003408		Coturnix japonica	6556	8106
NC_003426	Mammalia	Ursus americanus	6291	7835
NC_003427	Mammalia	Ursus arctos	6484	8028
NC_003428	Mammalia	Ursus maritimus	6479	8023
NC_003489	Actinopterygii	Ictalurus punctatus	6335	7885
NC_003712		Arenaria interpres	6563	8113
NC_003713		Haematopus ater	5368	6918
NC_004021		Ranodon sibiricus	5355	6905
NC_004025	Mammalia	Lemur catta	5341	6882
NC_004026	Mammalia	Macroscelides proboscideus	5312	6868
NC_004027	Mammalia	Manis tetradactyla	5308	6861
NC_004028	Mammalia	Lepus europaeus	5345	6886
NC_004029	Mammalia	Odobenus rosmarus rosmarus	5350	6894
NC_004030	Mammalia	Eumetopias jubatus	5355	6899
NC_004031	Mammalia	Galeopterus variegatus	5347	6900
NC_004069	Mammalia	Muntiacus reevesi	5330	6874
NC_004299	Actinopterygii	Takifugu rubripes	5445	6990
NC_004372	Actinopterygii	Aphredoderus sayanus	5444	6997
NC_004373	Actinopterygii	Carapus bermudensis	5422	6981
NC_004374	Actinopterygii	Bassozetus zenkevitchi	5463	7013
NC_004375	Actinopterygii	Cataetyx rubrirostris	5457	7007
NC_004376	Actinopterygii	Diplacanthopoma brachysoma	5464	7014
NC_004377	Actinopterygii	Physiculus japonicus	5441	6993
NC_004378	Actinopterygii	Lamprogrammus niger	5464	7013
NC_004379	Actinopterygii	Lota lota	5438	6988
NC_004380	Actinopterygii	Lophius americanus	5468	7018
NC_004381	Actinopterygii	Chaunax abei	5481	7032
NC_004382	Actinopterygii	Chaunax tosaensis	5483	7039
NC_004383	Actinopterygii	Caulophryne jordani	5457	7007
NC_004384	Actinopterygii	Melanocetus murrayi	5488	7038
NC_004385	Actinopterygii	Melanotaenia lacustris	5466	7016
NC_004386	Actinopterygii	Hypoatherina tsurugae	5483	7033
NC_004387	Actinopterygii	Oryzias latipes	5455	7011
NC_004388	Actinopterygii	Gambusia affinis	5462	7018
NC_004389	Actinopterygii	Cetostoma regani	5484	7034
NC_004390	Actinopterygii	Eutaeniophorus sp. 033-Miya	5484	7034
NC_004391	Actinopterygii	Anoplogaster cornuta	5457	7007
NC_004392	Actinopterygii	Monocentris japonicus	5474	7024
NC_004393	Actinopterygii	Beryx decadactylus	5477	7027
NC_004394	Actinopterygii	Ostichthys japonicus	5479	7029
NC_004395	Actinopterygii	Sargocentron rubrum	5493	7043
NC_004396	Actinopterygii	Parazen pacificus	5434	6996
NC_004397	Actinopterygii	Zenion japonicum	5452	7011
