	NC_018052	NC_014288	NC_024102	NC_022729	NC_028341	NC_024110	NC_023455	NC_022732	NC_023361	NC_026208	NC_026696	NC_022821	NC_002012	NC_017882	NC_026210	NC_024862	NC_030254	NC_030328	NC_023521	NC_022193	NC_025954	NC_026871	NC_030216	NC_022841	NC_021963	NC_003137	NC_028537	NC_023948	NC_023266	NC_028337	NC_028344	NC_007173	NC_024059	NC_024599	NC_024937	NC_024276	NC_022148	NC_030271	NC_026774	NC_024570	NC_014284	NC_030189	NC_024284	NC_023505	NC_025942	NC_028339	NC_000893	NC_029324	NC_021443	NC_026307	NC_022822	NC_022691	NC_026216	NC_025778	NC_025512	NC_023951	NC_029493	NC_020611	NC_000890	NC_025520	NC_001950	NC_028343	NC_029843	NC_023525	NC_022679	NC_024596	NC_021442	NC_025578	NC_022415	NC_022819	NC_027182	NC_029399	NC_029480	NC_021132	NC_023808	NC_023527	NC_023116	NC_028325	NC_022735	NC_027497	NC_028338	NC_022731	NC_022837	NC_027521	NC_014292	NC_021615	NC_003136	NC_016429	NC_028342	NC_024101	NC_023944	NC_026287	NC_021768	NC_024055	NC_007230	NC_022730	NC_022733	NC_014281	NC_025498	NC_027081	NC_019641	NC_023522	NC_027649	NC_016686	NC_028340	NC_029400	NC_030215	NC_028508	NC_025328	NC_024269	NC_022734	NC_023520	NC_026285
NC_018052	0.1222	1.818	1.799	1.48	1.043	1.596	1.396	1.469	1.049	1.779	0.9679	1.575	1.405	1.388	1.665	1.017	1.581	1.656	1.019	1.092	1.683	1.023	1.119	1.561	1.666	1.384	1.38	1.029	1.429	1.046	1.062	1.704	1.396	1.594	1.558	1.459	1.36	1.78	1.081	1.743	1.76	1.404	0.9909	1.658	1.602	1.063	1.633	1.639	1.294	1.616	1.328	1.461	1.293	1.068	1.671	1.584	1.507	1.016	1.061	1.051	1.302	1.059	0.9139	1.719	1.074	0.9922	1.373	1.458	1.418	1.054	1.649	1.306	1.465	1.68	1.688	1.062	1.722	1.726	1.12	1.738	1.017	1.488	1.744	1.687	1.825	1.432	1.814	1.637	1.022	1.526	1.662	1.013	1.044	1.024	1.705	1.534	1.534	1.761	1.622	1.022	1.709	1.006	1.71	1.415	1.065	1.17	1.636	1.113	1.416	1.415	1.464	1.344	1.716
NC_014288	1.782	0.1192	1.845	1.791	1.773	1.83	1.764	1.775	1.793	1.874	1.838	1.806	1.772	1.795	1.835	1.807	1.81	1.821	1.778	1.741	1.82	1.742	1.81	1.793	1.795	1.711	1.756	1.738	1.791	1.748	1.778	1.86	1.803	1.742	1.809	1.824	1.768	1.854	1.759	1.875	1.466	1.754	1.793	1.793	1.753	1.774	1.797	1.791	1.792	1.791	1.806	1.817	1.84	1.768	1.802	1.813	1.79	1.782	1.765	1.776	1.78	1.775	1.779	1.891	1.773	1.735	1.771	1.824	1.793	1.759	1.811	1.791	1.773	1.842	1.828	1.77	1.834	1.871	1.782	1.829	1.75	1.839	1.873	1.785	1.447	1.702	0.8379	1.772	1.75	1.842	1.787	1.761	1.758	1.828	1.844	1.813	1.849	1.412	1.833	1.775	1.846	1.765	1.854	1.79	1.797	1.806	1.804	1.742	1.812	1.787	1.775	1.768	1.828
NC_024102	1.776	1.858	0.1195	1.797	1.698	1.785	1.753	1.779	1.72	1.537	1.758	1.654	1.709	1.781	1.457	1.718	1.628	1.671	1.737	1.737	1.393	1.777	1.788	1.643	1.729	1.687	1.711	1.763	1.661	1.728	1.728	1.718	1.734	1.759	1.681	1.788	1.794	1.529	1.706	1.442	1.901	1.84	1.761	1.669	1.709	1.737	1.642	1.687	1.733	1.66	1.687	1.677	1.68	1.679	1.709	1.62	1.71	1.769	1.713	1.769	1.78	1.743	1.739	1.616	1.686	1.784	1.738	1.772	1.69	1.758	1.661	1.771	1.703	1.419	1.465	1.784	1.475	1.579	1.789	1.571	1.726	1.737	1.607	1.692	1.835	1.709	1.866	1.705	1.716	1.726	1.653	1.702	1.756	1.753	1.455	1.785	1.784	1.888	1.687	1.761	1.463	1.737	1.581	1.736	1.761	1.748	1.639	1.713	1.763	1.721	1.752	1.686	1.494
NC_022729	1.455	1.822	1.806	0.122	1.527	1.584	1.492	1.158	1.544	1.783	1.48	1.57	1.35	1.511	1.72	1.552	1.686	1.672	1.511	1.502	1.711	1.56	1.456	1.652	1.752	1.457	1.349	1.539	1.54	1.533	1.588	1.739	1.379	1.635	1.603	1.35	1.439	1.729	1.522	1.774	1.746	1.548	1.509	1.684	1.579	1.531	1.654	1.647	1.464	1.6	1.43	1.674	1.413	1.473	1.665	1.61	1.57	1.464	1.481	1.495	1.463	1.538	1.501	1.729	1.509	1.544	1.457	1.486	1.512	1.477	1.639	1.466	1.582	1.77	1.726	1.502	1.804	1.737	1.45	1.765	1.527	1.213	1.791	1.687	1.833	1.455	1.819	1.646	1.526	1.661	1.686	1.53	1.526	1.489	1.696	1.229	1.247	1.728	1.697	1.498	1.727	1.5	1.683	1.523	1.524	1.519	1.7	1.554	1.432	1.57	1.364	1.515	1.727
NC_028341	1.02	1.822	1.726	1.543	0.1226	1.564	1.337	1.491	0.6351	1.753	0.7203	1.558	1.418	1.394	1.656	0.6994	1.553	1.621	0.7101	0.8827	1.583	0.7069	1.014	1.628	1.662	1.266	1.417	0.7011	1.254	0.6127	0.6409	1.66	1.425	1.614	1.578	1.415	1.317	1.725	0.904	1.641	1.735	1.401	0.727	1.64	1.608	0.6	1.623	1.656	1.302	1.567	1.228	1.461	1.296	0.9133	1.632	1.57	1.408	0.6752	0.8988	0.6723	1.259	0.6005	0.8411	1.695	0.9059	0.692	1.335	1.463	1.392	0.7672	1.621	1.266	1.424	1.665	1.684	0.977	1.658	1.746	1.036	1.713	0.5948	1.448	1.705	1.691	1.846	1.325	1.78	1.607	0.6102	1.429	1.636	0.7291	0.6083	0.6962	1.688	1.521	1.518	1.731	1.644	0.6857	1.7	0.6897	1.704	1.376	0.4213	0.9662	1.579	0.9429	1.449	1.347	1.388	1.27	1.598
NC_024110	1.555	1.851	1.781	1.556	1.515	0.1159	1.559	1.537	1.474	1.767	1.431	1.636	1.215	1.573	1.647	1.457	1.612	1.705	1.448	1.456	1.697	1.441	1.492	1.605	1.682	1.331	1.225	1.423	1.487	1.461	1.497	1.633	1.225	1.692	1.634	1.33	1.502	1.752	1.513	1.737	1.817	1.566	1.443	1.651	1.615	1.419	1.661	1.624	1.449	1.615	1.506	1.464	1.56	1.489	1.747	1.562	1.557	1.404	1.524	1.416	1.551	1.431	1.429	1.724	1.501	1.49	1.525	1.364	1.496	1.458	1.641	1.499	1.564	1.736	1.759	1.475	1.635	1.78	1.503	1.74	1.453	1.502	1.709	1.676	1.818	1.382	1.843	1.624	1.462	1.443	1.706	1.461	1.486	1.45	1.724	1.587	1.604	1.824	1.635	1.462	1.644	1.472	1.746	1.57	1.502	1.471	1.662	1.484	1.328	1.523	1.277	1.491	1.748
NC_023455	1.387	1.804	1.764	1.504	1.314	1.592	0.1214	1.494	1.316	1.662	1.265	1.551	1.439	1.083	1.628	1.392	1.564	1.655	1.362	1.284	1.632	1.328	1.364	1.577	1.672	1.353	1.386	1.307	1.433	1.369	1.401	1.664	1.398	1.58	1.551	1.454	1.111	1.716	1.409	1.732	1.732	0.8598	1.312	1.594	1.572	1.282	1.609	1.644	1.332	1.516	1.33	1.529	1.341	1.318	1.584	1.553	0.8703	1.37	1.363	1.37	1.418	1.294	1.359	1.664	1.338	1.372	1.389	1.489	1.439	1.35	1.567	1.441	1.021	1.701	1.634	1.437	1.657	1.662	1.362	1.697	1.344	1.447	1.705	1.659	1.843	1.297	1.802	1.624	1.364	1.486	1.639	1.314	1.342	1.327	1.737	1.508	1.54	1.747	1.72	1.366	1.685	1.374	1.641	1.095	1.304	1.406	1.61	1.369	1.43	1.455	1.449	1.332	1.651
NC_022732	1.456	1.814	1.79	1.163	1.479	1.564	1.479	0.1217	1.473	1.714	1.466	1.586	1.345	1.458	1.657	1.459	1.649	1.641	1.464	1.465	1.644	1.444	1.441	1.615	1.668	1.353	1.294	1.48	1.494	1.481	1.52	1.663	1.312	1.601	1.652	1.407	1.422	1.72	1.531	1.674	1.737	1.482	1.447	1.643	1.572	1.472	1.634	1.618	1.415	1.548	1.444	1.553	1.352	1.476	1.687	1.604	1.439	1.423	1.397	1.455	1.444	1.484	1.499	1.718	1.469	1.466	1.436	1.395	1.517	1.452	1.639	1.408	1.499	1.723	1.651	1.408	1.747	1.732	1.415	1.699	1.473	0.9135	1.721	1.692	1.838	1.394	1.819	1.664	1.498	1.624	1.646	1.467	1.498	1.431	1.702	0.8233	0.7933	1.713	1.704	1.442	1.724	1.463	1.689	1.468	1.476	1.552	1.653	1.497	1.36	1.521	1.357	1.396	1.617
NC_023361	1.044	1.825	1.743	1.558	0.643	1.532	1.318	1.495	0.1226	1.721	0.739	1.587	1.373	1.425	1.631	0.7032	1.538	1.591	0.7245	0.8842	1.613	0.7409	1.031	1.567	1.641	1.293	1.406	0.7174	1.314	0.5533	0.5832	1.62	1.398	1.538	1.586	1.442	1.309	1.72	0.9206	1.698	1.754	1.315	0.7653	1.655	1.602	0.5918	1.64	1.605	1.303	1.548	1.27	1.418	1.316	0.9061	1.64	1.591	1.315	0.7049	0.9179	0.6982	1.24	0.5952	0.855	1.715	0.8997	0.7231	1.31	1.537	1.398	0.7993	1.559	1.244	1.403	1.66	1.699	0.9684	1.634	1.789	1.088	1.687	0.5421	1.394	1.737	1.682	1.833	1.333	1.823	1.64	0.5474	1.355	1.656	0.7492	0.4752	0.7273	1.712	1.526	1.51	1.746	1.66	0.7121	1.699	0.7443	1.648	1.384	0.6685	0.9595	1.584	0.9271	1.518	1.367	1.381	1.278	1.644
NC_026208	1.761	1.877	1.539	1.778	1.729	1.771	1.65	1.686	1.707	0.1212	1.713	1.601	1.727	1.672	1.338	1.701	1.577	1.696	1.665	1.743	1.34	1.686	1.753	1.586	1.699	1.661	1.705	1.659	1.731	1.757	1.755	1.697	1.668	1.737	1.631	1.763	1.649	0.8267	1.719	1.373	1.832	1.731	1.709	1.685	1.66	1.681	1.706	1.677	1.703	1.604	1.69	1.769	1.722	1.69	1.773	1.547	1.701	1.686	1.774	1.671	1.722	1.685	1.71	1.034	1.677	1.696	1.75	1.745	1.731	1.717	1.586	1.73	1.74	1.283	1.331	1.749	1.398	0.9036	1.728	0.9376	1.754	1.747	1.572	1.686	1.862	1.692	1.861	1.659	1.742	1.758	1.695	1.682	1.663	1.73	1.48	1.776	1.78	1.842	1.667	1.686	1.296	1.725	1.005	1.72	1.793	1.703	1.634	1.697	1.738	1.726	1.728	1.8	1.294
