	NC_018052	NC_014288	NC_024102	NC_022729	NC_028341	NC_024110	NC_023455	NC_022732	NC_023361	NC_026208	NC_026696	NC_022821	NC_002012	NC_017882	NC_026210	NC_024862	NC_030254	NC_030328	NC_023521	NC_022193	NC_025954	NC_026871	NC_030216	NC_022841	NC_021963	NC_003137	NC_028537	NC_023948	NC_023266	NC_028337	NC_028344	NC_007173	NC_024059	NC_024599	NC_024937	NC_024276	NC_022148	NC_030271	NC_026774	NC_024570	NC_014284	NC_030189	NC_024284	NC_023505	NC_025942	NC_028339	NC_000893	NC_029324	NC_021443	NC_026307	NC_022822	NC_022691	NC_026216	NC_025778	NC_025512	NC_023951	NC_029493	NC_020611	NC_000890	NC_025520	NC_001950	NC_028343	NC_029843	NC_023525	NC_022679	NC_024596	NC_021442	NC_025578	NC_022415	NC_022819	NC_027182	NC_029399	NC_029480	NC_021132	NC_023808	NC_023527	NC_023116	NC_028325	NC_022735	NC_027497	NC_028338	NC_022731	NC_022837	NC_027521	NC_014292	NC_021615	NC_003136	NC_016429	NC_028342	NC_024101	NC_023944	NC_026287	NC_021768	NC_024055	NC_007230	NC_022730	NC_022733	NC_014281	NC_025498	NC_027081	NC_019641	NC_023522	NC_027649	NC_016686	NC_028340	NC_029400	NC_030215	NC_028508	NC_025328	NC_024269	NC_022734	NC_023520	NC_026285
NC_018052	0	0	0	35	40	0	35	37	33	0	43	0	36	44	0	44	0	0	45	39	0	46	45	0	0	36	35	47	38	39	41	0	41	0	0	39	49	0	43	0	0	29	42	0	0	40	0	0	41	0	46	44	41	40	0	0	0	44	41	48	34	41	38	0	40	36	41	35	46	40	0	41	39	0	0	42	0	0	42	0	40	37	0	0	0	40	0	0	39	0	0	41	39	45	0	37	42	0	0	44	0	43	0	37	44	43	0	46	36	40	38	46	0
NC_014288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	48	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_024102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	39	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	39
NC_022729	35	0	0	0	0	0	40	50	0	0	43	0	50	0	0	0	0	0	0	0	0	0	34	0	0	39	49	0	0	0	0	0	46	0	0	40	42	0	0	0	0	0	0	0	0	0	0	0	44	0	42	0	46	41	0	0	0	41	43	34	42	0	0	0	0	0	37	37	0	35	0	42	0	0	0	0	0	0	43	0	0	48	0	0	0	43	0	0	0	0	0	0	0	43	0	51	45	0	0	40	0	0	0	0	0	0	0	0	39	0	47	0	0
NC_028341	40	0	0	0	0	0	38	31	15	0	24	0	47	45	0	17	0	0	28	23	0	20	34	0	0	43	47	22	38	16	19	0	41	0	0	37	47	0	32	0	0	35	20	0	0	10	0	0	41	0	41	46	44	31	0	0	39	18	30	17	35	10	33	0	24	20	42	37	39	21	0	48	34	0	0	33	0	0	29	0	16	37	0	0	0	40	0	0	16	42	0	19	15	20	0	36	39	0	0	19	0	19	0	45	17	42	0	31	36	46	37	44	0
NC_024110	0	0	0	0	0	0	0	0	35	0	37	0	44	0	0	40	0	0	43	34	0	41	40	0	0	40	43	40	36	37	34	0	46	0	0	44	0	0	0	0	0	0	33	0	0	35	0	0	41	0	0	39	0	35	0	0	0	39	0	37	0	35	45	0	0	37	0	41	42	36	0	36	0	0	0	35	0	0	0	0	37	0	0	0	0	34	0	0	39	37	0	38	36	37	0	0	0	0	0	35	0	39	0	0	0	40	0	34	44	0	37	46	0
NC_023455	35	0	0	40	38	0	0	37	37	0	40	0	42	42	0	45	0	0	38	40	0	40	39	0	0	39	42	40	38	40	43	0	40	0	0	41	37	0	40	0	0	37	40	0	0	39	0	0	39	0	43	0	46	42	0	0	35	43	39	38	40	41	43	0	37	43	43	37	42	44	0	41	42	0	0	35	0	0	51	0	41	37	0	0	0	40	0	0	41	45	0	42	37	35	0	43	40	0	0	43	0	45	0	43	43	37	0	40	40	45	38	48	0
NC_022732	37	0	0	50	31	0	37	0	37	0	36	0	35	37	0	31	0	0	40	39	0	39	41	0	0	33	43	34	31	38	0	0	33	0	0	37	37	0	42	0	0	30	33	0	0	43	0	0	40	0	35	0	36	33	0	0	33	39	45	36	37	42	36	0	34	40	42	35	0	40	0	34	30	0	0	43	0	0	42	0	38	46	0	0	0	32	0	0	39	0	0	38	34	38	0	36	71	0	0	39	0	35	0	38	38	0	0	35	36	0	39	36	0
NC_023361	33	0	0	0	15	35	37	37	0	0	31	0	50	43	0	21	0	0	34	36	0	34	40	0	0	41	46	29	43	15	17	0	45	0	0	35	51	0	40	0	0	41	32	0	0	19	0	0	46	0	46	40	48	36	0	0	46	32	33	33	40	19	36	0	30	29	37	0	41	25	0	41	39	0	0	33	0	0	35	0	16	44	0	0	0	37	0	0	16	40	0	30	16	29	0	36	42	0	0	28	0	30	0	43	23	40	0	34	0	40	32	46	0
NC_026208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	48	43	0	44	49	0	56	0	0	41	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	54	0	58	0	0	0	0	0	0	0	0	0	57
